x,latitude,longitude,name
,1.305787006,103.866979,Kallang Riverside Park
,1.286823994,103.851957,Empress Place
,1.275281008,103.818222,Mount Faber Park
,1.303169006,103.920605,East Coast Park
,1.322453001,103.950773,Limau Garden Playground
,1.344383007,103.960283,Meragi Road Playground
,1.367302019,103.889832,Realty Park Playground
,1.371689995,103.952378,Pasir Ris Town Park
,1.327417001,103.953082,Bedok Ria Crescent Playground
,1.32202599,103.7964,Coronation Park Playground
,1.361013983,103.830174,The Inglewood Playground
,1.324289989,103.805479,Duchess Park
,1.351061996,103.844622,Clover Crescent Playground
,1.348673983,103.843548,Binchang Rise Playground
,1.350155996,103.835175,Taman Permata Park
,1.337011004,103.78506,Hua Guan Crescent Playground
,1.377304974,103.805474,Central Catchment Nature Reserve
,1.329720994,103.87305,Siang Kuang Avenue Interim Park
,1.311484011,103.858152,Somme Road Playground
,1.295716995,103.848861,Stamford Green
,1.31911,103.806056,King's Drive  Playground
,1.325451997,103.817666,University Road Park
,1.322288011,103.788076,Greenleaf View Park Playground
,1.370971567,103.7808374,Chestnut Nature Park
,1.281465007,103.847644,Telok Ayer Green
,1.372718013,103.839569,Mayflower Crescent Playground
,1.388305972,103.85737,Sunrise Drive Playground 1
,1.372190016,103.941094,Elias Terrace Playground
,1.321627004,103.948451,Kew Avenue Playground
,1.313034992,103.917656,Greenfield Drive Playground
,1.359264023,103.944482,Sun Plaza Park
,1.391226001,103.987296,Changi Point Ferry Terminal
,1.371020982,103.832392,Shangri-La Playground
,1.32010101,103.924456,Opera Estate Football Field
,1.388054016,103.836146,Lentor Vale Playground
,1.323851998,103.950395,Limau Villas Playground
,1.348967012,103.883569,Paya Lebar Crescent Open Space
,1.385445983,103.877906,Mugliston Park Playground
,1.378732994,103.945667,Sungei Api Api Park
,1.380681008,103.837487,Yio Chu Kang Gardens Playground
,1.363914991,103.94869,Tampines Eco Green
,1.384050001,103.86045,Mimosa Terrace Playground
,1.385589014,103.865744,Neram Crescent Playground
,1.390647001,103.988089,Changi Point Waterfront Park
,1.319380003,103.927927,Aida Park
,1.346071008,103.884998,Tai Keng Gardens Playground
,1.367963662,103.8903645,Realty Park
,1.390172013,103.98919,Changi Point Promenade
,1.35519602,103.885955,Aroozoo Avenue Playground
,1.391640001,103.903736,St. Anne's Wood Playground
,1.325534002,103.94749,Bedok Terrace Playground
